class_code,college_name,department_name,course_name,professor,class_time,class_type,class_room,class_time_number
CAL3050-41,공과대학,건설환경공학부,"지형공간정보학
Geo-Informatics ",윤홍식,"화15:00-16:15【26307】,목16:30-17:45【26307】",일반수업,26307,"2_15001615, 4_16301745"
CAL3063-41,공과대학,건설환경공학부,"에너지자원순환공학
Energy recycle Engineering",염익태,"월12:00-13:15【26305】,수13:30-14:45【26305】",일반수업,26305,"1_12001315, 3_13301445"
CAL3086-41,공과대학,건설환경공학부,"글로벌환경원격탐사
Remote Sensing of Global  Environment",최민하,"화09:00-09:50【26217A】,화10:00-10:50【26217A】,화11:00-11:50【26217A】,금15:00-15:50【22402】,금16:00-16:50【22402】,금17:00-17:50【22402】",국제어수업,26217,"2_09000950, 2_10001050, 2_11001150, 5_15001550, 5_16001650, 5_17001750"
CAL3091-41,공과대학,건설환경공학부,"건설환경현장실습1B
Co-operative Training in Construction and Environmental Engineering 1B",이제찬,미지정,일반수업,,미지정
CAL3092-41,공과대학,건설환경공학부,"건설환경현장실습2B
Co-operative Training in Construction and Environmental Engineering 2B",이제찬,미지정,일반수업,,미지정
CAL3024-41,공과대학,건설환경공학부,"건축공학현장실습3B 
Practical Training 3B of Architectural Engineering ",심성한,미지정,일반수업,,미지정
CAL3115-41,공과대학,건설환경공학부,"경관생태학 
Landscape Ecology",김민경,"목09:00-10:15【61301A】,목10:30-11:45【61301A】",일반수업,61301,"4_09001015, 4_10301145"
CAL3086-41,공과대학,건설환경공학부,"글로벌환경원격탐사
Remote Sensing of Global  Environment",최민하,"화09:00-09:50【26217A】,화10:00-10:50【26217A】,화11:00-11:50【26217A】,금15:00-15:50【22402】,금16:00-16:50【22402】,금17:00-17:50【22402】",국제어수업,26217,"2_09000950, 2_10001050, 2_11001150, 5_15001550, 5_16001650, 5_17001750"
CAL3091-41,공과대학,건설환경공학부,"건설환경현장실습1B
Co-operative Training in Construction and Environmental Engineering 1B",이제찬,미지정,일반수업,,미지정
CAL3092-41,공과대학,건설환경공학부,"건설환경현장실습2B
Co-operative Training in Construction and Environmental Engineering 2B",이제찬,미지정,일반수업,,미지정
CAL3095-41,공과대학,건설환경공학부,"RC구조물설계
Design of Reinforced Concrete Structure",박선규,"화13:30-14:45【26512】,목12:00-13:15【26512】",일반수업,26512,"2_13301445, 4_12001315"
CAL3102-41,공과대학,건설환경공학부,"조경현장실습2 
Landscape Architecture Field Practice 2",자연과학,일반수업,일반수업,,일반수업
CAL3111-41,공과대학,건설환경공학부,"생태복원공학및실습 
Ecological Restoration Engineering and Practice ",정경진,"화15:00-15:50【61301A】,화16:00-16:50【61301A】,화17:00-17:50【61301A】,화18:00-18:50【61301A】,화19:00-19:50【61301A】,화20:00-20:50【61301A】",일반수업,61301,"2_15001550, 2_16001650, 2_17001750, 2_18001850, 2_19001950, 2_20002050"
CAL3115-41,공과대학,건설환경공학부,"경관생태학 
Landscape Ecology",김민경,"목09:00-10:15【61301A】,목10:30-11:45【61301A】",일반수업,61301,"4_09001015, 4_10301145"
CAL3119-41,공과대학,건설환경공학부,"조경화훼식물학
Landscape Flowering Plants",하유미,"월09:00-10:15【61301A】,월10:30-11:45【61301A】",일반수업,61301,"1_09001015, 1_10301145"
CAL3122-41,공과대학,건설환경공학부,"조경현장실습1 
Landscape Architecture for Co-operative Program 1 ",자연과학,일반수업,일반수업,,일반수업
CAL3142-41,공과대학,건설환경공학부,"환경변화와스마트대응기술
Environmental Change and Smart Response Technology",김형수,"화12:00-13:15【26513】,목13:30-14:45【26513】",일반수업,26513,"2_12001315, 4_13301445"
CAL3148-41,공과대학,건설환경공학부,"기후변화와탄소재이용
Climate Change & Carbon Utilization",이제찬,"화13:30-14:45【26305】,목12:00-13:15【26305】",일반수업,26305,"2_13301445, 4_12001315"
CAL3149-41,공과대학,건설환경공학부,"친환경건축계획실무
Low-energy Building Design Practice",송두삼,"화18:00-18:50【26305】,화19:00-19:50【26305】,화20:00-20:50【26305】,목18:00-18:50【26305】,목19:00-19:50【26305】,목20:00-20:50【26305】",일반수업,26305,"2_18001850, 2_19001950, 2_20002050, 4_18001850, 4_19001950, 4_20002050"
CAL3102-41,공과대학,건설환경공학부,"조경현장실습2 
Landscape Architecture Field Practice 2",자연과학,일반수업,,,일반수업
CAL3111-41,공과대학,건설환경공학부,"생태복원공학및실습 
Ecological Restoration Engineering and Practice ",정경진,"화15:00-15:50【61301A】,화16:00-16:50【61301A】,화17:00-17:50【61301A】,화18:00-18:50【61301A】,화19:00-19:50【61301A】,화20:00-20:50【61301A】",일반수업,61301,"2_15001550, 2_16001650, 2_17001750, 2_18001850, 2_19001950, 2_20002050"
CAL3122-41,공과대학,건설환경공학부,"조경현장실습1 
Landscape Architecture for Co-operative Program 1 ",자연과학,일반수업,,,일반수업
CAL3142-41,공과대학,건설환경공학부,"환경변화와스마트대응기술
Environmental Change and Smart Response Technology",김형수,"화12:00-13:15【26513】,목13:30-14:45【26513】",일반수업,26513,"2_12001315, 4_13301445"
CAL3148-41,공과대학,건설환경공학부,"기후변화와탄소재이용
Climate Change & Carbon Utilization",이제찬,"화13:30-14:45【26305】,목12:00-13:15【26305】",일반수업,26305,"2_13301445, 4_12001315"
CAL3149-41,공과대학,건설환경공학부,"친환경건축계획실무
Low-energy Building Design Practice",송두삼,"화18:00-18:50【26305】,화19:00-19:50【26305】,화20:00-20:50【26305】,목18:00-18:50【26305】,목19:00-19:50【26305】,목20:00-20:50【26305】",일반수업,26305,"2_18001850, 2_19001950, 2_20002050, 4_18001850, 4_19001950, 4_20002050"
ECA4708-41,공과대학,건설환경공학부,"응용통계수문학
Applied Statistical Hydrology",최민하,"화12:00-13:15【26217A】,화13:30-14:45【26217A】",국제어수업,26217,"2_12001315, 2_13301445"
EME3028-41,공과대학,건설환경공학부,"응용고체역학
Applied Solid Mechanics",최덕현,"월09:00-10:15【22310】,수10:30-11:45【22310】",일반수업,22310,"1_09001015, 3_10301145"
EME3028-42,공과대학,건설환경공학부,"응용고체역학
Applied Solid Mechanics",최덕현,"월12:00-13:15【22310】,수13:30-14:45【22310】",일반수업,22310,"1_12001315, 3_13301445"
ERC2007-41,공과대학,건설환경공학부,"공학수치해석
Engineering Numerical Analysis",전경수,"목09:00-10:15【26223】,목10:30-11:45【26223】",일반수업,26223,"4_09001015, 4_10301145"
ERC2007-42,공과대학,건설환경공학부,"공학수치해석
Engineering Numerical Analysis",자비단,"화13:30-14:45【26515】,목12:00-13:15【26515】",국제어수업,26515,"2_13301445, 4_12001315"
ERC2008-41,공과대학,건설환경공학부,"기술경영개론
Introduction to Management of Technology",조근태,"금15:00-16:15【26223】,금16:30-17:45【26223】",일반수업,26223,"5_15001615, 5_16301745"
