college_name,Department Name,Course Name,Professor,Class Time
공과대학,건축토목공학부,"응용고체역학
Applied Solid Mechanics",최덕현,"월12:00-13:15【22310】,수13:30-14:45【22310】"
공과대학,건축토목공학부,"공학수치해석
Engineering Numerical Analysis",전경수,"목09:00-10:15【26223】,목10:30-11:45【26223】"
공과대학,건축토목공학부,"공학수치해석
Engineering Numerical Analysis",자비단,"화13:30-14:45【26515】,목12:00-13:15【26515】"
공과대학,건축토목공학부,"기술경영개론
Introduction to Management of Technology",조근태,"금15:00-16:15【26223】,금16:30-17:45【26223】"
공과대학,건축토목공학부,"기술경영개론
Introduction to Management of Technology",조근태,"목18:00-19:15【27511】,목19:30-20:45【27511】"
공과대학,건축토목공학부,"산학융합캡스톤디자인
Industry Collaborative Capstone Design",김미소,"금18:00-19:15【26223】,금19:30-20:45【26223】"
공과대학,건축학과,"기본설계2
Architectural Design 2",김지엽,"수10:30-11:45【22526】,수12:00-13:15【22526】,수13:30-14:45【22526】,수15:00-16:15【22526】"
공과대학,건축학과,"기본설계2
Architectural Design 2",박은주,"수10:30-11:45【22525】,수12:00-13:15【22525】,수13:30-14:45【22525】,수15:00-16:15【22525】"
공과대학,건축학과,"기본설계2
Architectural Design 2",안재석,"수10:30-11:45【22528】,수12:00-13:15【22528】,수13:30-14:45【22528】,수15:00-16:15【22528】"
공과대학,건축학과,"기본설계2
Architectural Design 2",조영주,"수10:30-11:45【22527】,수12:00-13:15【22527】,수13:30-14:45【22527】,수15:00-16:15【22527】"
공과대학,건축학과,"기본설계2
Architectural Design 2",주순탁,"수10:30-11:45【22530】,수12:00-13:15【22530】,수13:30-14:45【22530】,수15:00-16:15【22530】"
공과대학,건축학과,"서양건축사
History of Western Architecture",이현정,"목09:00-10:15【21514】,목10:30-11:45【21514】"
공과대학,건축학과,"건축설계스튜디오2
Architectural Design Studio 2",권문성,"화13:30-14:45【22526】,화15:00-16:15【22526】,화16:30-17:45【22526】,화18:00-19:10【22526】,금13:30-14:45【22526】,금15:00-16:15【22526】,금16:30-17:45【22526】,금18:00-19:10【22526】"
공과대학,건축학과,"건축설계스튜디오2
Architectural Design Studio 2",이재익,"화13:30-14:45【22525】,화15:00-16:15【22525】,화16:30-17:45【22525】,화18:00-19:10【22525】,금13:30-14:45【22525】,금15:00-16:15【22525】,금16:30-17:45【22525】,금18:00-19:10【22525】"
공과대학,건축학과,"단지계획
Site Planning",김도년,"금09:00-10:15【22110】,금10:30-11:45【22110】"
공과대학,건축학과,"건축설계스튜디오2
Architectural Design Studio 2",김유리,"화13:30-14:45【22528】,화15:00-16:15【22528】,화16:30-17:45【22528】,화18:00-19:10【22528】,금13:30-14:45【22528】,금15:00-16:15【22528】,금16:30-17:45【22528】,금18:00-19:10【22528】"
공과대학,건축학과,"건축설계스튜디오2
Architectural Design Studio 2",변승용,"화13:30-14:45【22527】,화15:00-16:15【22527】,화16:30-17:45【22527】,화18:00-19:10【22527】,금13:30-14:45【22527】,금15:00-16:15【22527】,금16:30-17:45【22527】,금18:00-19:10【22527】"
공과대학,건축학과,"디지털모델링
Digital Modeling",박근우,"월09:00-09:50【22111】,월10:00-10:50【22111】,월11:00-11:50【22111】,월12:00-12:50【22111】,월13:00-13:50【22111】,월14:00-14:50【22111】"
공과대학,건축학과,"디지털모델링
Digital Modeling",박근우,"목09:00-09:50【22111】,목10:00-10:50【22111】,목11:00-11:50【22111】,목12:00-12:50【22111】,목13:00-13:50【22111】,목14:00-14:50【22111】"
공과대학,건축학과,"건축시공관리
Architectural Construction Management",박영환,"수18:00-19:15【22410】,수19:30-20:45【22410】"
공과대학,건축학과,"건축종합설계스튜디오4
Architectural Comprehensive Design Studio 4",이중원,"월13:30-14:45【22534】,월15:00-16:15【22534】,월16:30-17:45【22534】,월18:00-19:10【22534】,목13:30-14:45【22534】,목15:00-16:15【22534】,목16:30-17:45【22534】,목18:00-19:10【22534】"
